x,y_do_x
-3.2786398,-1.4816276
-3.2605677,-1.4732504
-3.2424953,-1.4648721
-3.2244232,-1.4564924
-3.206351,-1.4481113
-3.1882787,-1.4397289
-3.1702065,-1.4313449
-3.1521344,-1.4229598
-3.1340623,-1.4145732
-3.11599,-1.4061852
-3.0979178,-1.3977956
-3.0798457,-1.3894047
-3.0617733,-1.381012
-3.0437012,-1.372618
-3.025629,-1.3642224
-3.0075567,-1.355825
-2.9894845,-1.3474259
-2.9714124,-1.3390255
-2.95334,-1.3306231
-2.935268,-1.3222191
-2.9171958,-1.3138133
-2.8991234,-1.3054054
-2.8810513,-1.2969959
-2.8629792,-1.2885842
-2.8449068,-1.2801707
-2.8268347,-1.2717552
-2.8087626,-1.2633376
-2.7906904,-1.2549177
-2.772618,-1.2464958
-2.754546,-1.2380714
-2.7364738,-1.229645
-2.7184014,-1.221216
-2.7003293,-1.2127844
-2.6822572,-1.2043505
-2.6641848,-1.1959139
-2.6461127,-1.1874747
-2.6280406,-1.1790328
-2.6099682,-1.1705879
-2.591896,-1.1621401
-2.573824,-1.1536895
-2.5557518,-1.1452359
-2.5376794,-1.1367788
-2.5196073,-1.1283184
-2.5015352,-1.1198549
-2.4834628,-1.1113881
-2.4653907,-1.1029174
-2.4473186,-1.0944434
-2.4292462,-1.0859654
-2.411174,-1.0774838
-2.393102,-1.0689982
-2.3750296,-1.0605085
-2.3569574,-1.0520146
-2.3388853,-1.0435166
-2.320813,-1.035014
-2.3027408,-1.0265071
-2.2846687,-1.0179956
-2.2665963,-1.0094793
-2.2485242,-1.0009582
-2.230452,-0.99243224
-2.21238,-0.9839011
-2.1943076,-0.97536457
-2.1762354,-0.9668229
-2.1581633,-0.9582757
-2.140091,-0.9497228
-2.1220188,-0.94116443
-2.1039467,-0.9326
-2.0858743,-0.92402947
-2.0678022,-0.915453
-2.04973,-0.9068703
-2.0316577,-0.898281
-2.0135856,-0.8896853
-1.9955134,-0.88108283
-1.9774412,-0.8724734
-1.959369,-0.8638572
-1.9412968,-0.8552338
-1.9232246,-0.8466031
-1.9051523,-0.83796483
-1.8870802,-0.8293191
-1.869008,-0.82066584
-1.8509358,-0.8120045
-1.8328636,-0.80333513
-1.8147913,-0.7946577
-1.7967192,-0.7859719
-1.778647,-0.7772776
-1.7605748,-0.76857466
-1.7425026,-0.75986296
-1.7244303,-0.7511422
-1.7063582,-0.7424125
-1.688286,-0.73367345
-1.6702137,-0.72492504
-1.6521416,-0.71616703
-1.6340693,-0.70739925
-1.6159971,-0.69862163
-1.597925,-0.689834
-1.5798527,-0.6810361
-1.5617806,-0.6722279
-1.5437083,-0.66340905
-1.5256361,-0.6545796
-1.507564,-0.6457393
-1.4894917,-0.63688797
-1.4714196,-0.6280255
-1.4533473,-0.61915165
-1.4352751,-0.61026627
-1.417203,-0.6013693
-1.3991307,-0.5924605
-1.3810585,-0.5835396
-1.3629863,-0.57460666
-1.3449141,-0.5656613
-1.3268418,-0.5567036
-1.3087697,-0.5477332
-1.2906975,-0.5387499
-1.2726253,-0.5297537
-1.2545531,-0.5207444
-1.2364808,-0.5117216
-1.2184087,-0.5026855
-1.2003365,-0.49363565
-1.1822643,-0.48457208
-1.1641921,-0.47549433
-1.1461198,-0.46640253
-1.1280477,-0.45729643
-1.1099755,-0.44817582
-1.0919032,-0.43904054
-1.0738311,-0.42989042
-1.0557588,-0.4207252
-1.0376866,-0.41154486
-1.0196145,-0.40234923
-1.0015422,-0.393138
-0.98347,-0.38391107
-0.96539783,-0.37466827
-0.94732565,-0.3654094
-0.92925346,-0.35613436
-0.9111812,-0.3468428
-0.893109,-0.33753476
-0.87503684,-0.32820994
-0.8569646,-0.31886813
-0.8388924,-0.30950928
-0.8208202,-0.30013314
-0.802748,-0.2907395
-0.78467584,-0.28132823
-0.7666036,-0.2718991
-0.7485314,-0.26245204
-0.7304592,-0.25298676
-0.71238697,-0.24350312
-0.6943148,-0.23400098
-0.6762426,-0.2244801
-0.6581704,-0.21494038
-0.6400982,-0.20538151
-0.62202597,-0.19580342
-0.6039538,-0.18620594
-0.5858816,-0.17658885
-0.56780934,-0.16695194
-0.54973716,-0.15729514
-0.53166497,-0.14761819
-0.5135928,-0.13792096
-0.49552056,-0.12820324
-0.47744834,-0.118464865
-0.45937616,-0.108705714
-0.44130397,-0.09892558
-0.42323175,-0.08912428
-0.40515953,-0.07930167
-0.38708735,-0.06945762
-0.36901516,-0.05959191
-0.35094294,-0.049704403
-0.33287072,-0.03979495
-0.31479853,-0.029863415
-0.29672635,-0.019909624
-0.27865413,-0.009933417
-0.2605819,6.533871e-05
-0.24250972,0.010086762
-0.22443752,0.02013102
-0.20636532,0.030198233
-0.18829311,0.040288534
-0.17022091,0.050402053
-0.15214871,0.06053891
-0.1340765,0.07069922
-0.1160043,0.08088309
-0.0979321,0.09109065
-0.0798599,0.10132196
-0.061787695,0.111577146
-0.043715492,0.121856324
-0.02564329,0.13215953
-0.0075710863,0.14248686
0.0105011165,0.1528384
0.02857332,0.16321419
0.046645522,0.17361434
0.064717725,0.18403885
0.08278993,0.19448777
0.10086213,0.20496115
0.11893433,0.21545906
0.13700654,0.22598144
0.15507874,0.2365284
0.17315094,0.24709985
0.19122314,0.25769588
0.20929535,0.2683164
0.22736755,0.27896142
0.24543975,0.28963092
0.26351196,0.30032486
0.28158414,0.3110431
0.29965636,0.32178584
0.31772858,0.3325527
0.33580077,0.34334382
0.35387295,0.35415903
0.37194517,0.36499825
0.3900174,0.37586132
0.40808958,0.38674816
0.42616177,0.3976587
0.44423398,0.40859276
0.4623062,0.41955018
0.4803784,0.43053073
0.49845058,0.44153437
0.51652277,0.45256084
0.534595,0.4636099
0.5526672,0.47468144
0.5707394,0.48577523
0.58881164,0.49689105
0.6068838,0.5080286
0.624956,0.51918757
0.6430282,0.53036785
0.6611004,0.5415691
0.67917264,0.5527911
0.6972448,0.56403345
0.715317,0.57529587
0.73338926,0.58657813
0.75146145,0.5978798
0.76953363,0.6092004
0.7876058,0.62053996
0.805678,0.63189787
0.82375026,0.6432737
0.84182245,0.6546673
0.85989463,0.66607815
0.8779669,0.6775058
0.89603907,0.6889497
0.91411126,0.70040977
0.93218344,0.71188545
0.95025563,0.7233761
0.9683279,0.73488164
0.98640007,0.7464014
1.0044723,0.7579347
1.0225445,0.7694815
1.0406166,0.78104085
1.0586889,0.7926128
1.0767611,0.80419636
1.0948333,0.8157912
1.1129055,0.82739687
1.1309776,0.83901286
1.1490499,0.85063845
1.1671221,0.86227334
1.1851943,0.8739169
1.2032665,0.88556856
1.2213387,0.8972278
1.2394109,0.90889406
1.2574831,0.9205666
1.2755554,0.9322452
1.2936275,0.943929
1.3116997,0.95561785
1.329772,0.96731055
1.3478441,0.97900695
1.3659164,0.9907063
1.3839885,1.0024083
1.4020607,1.0141121
1.420133,1.0258172
1.4382051,1.0375228
1.4562774,1.0492288
1.4743495,1.0609342
1.4924217,1.0726386
1.510494,1.0843415
1.5285661,1.0960419
1.5466384,1.1077397
1.5647106,1.1194342
1.5827827,1.1311247
1.600855,1.1428107
1.6189272,1.1544917
1.6369994,1.1661669
1.6550716,1.1778361
1.6731437,1.1894984
1.691216,1.2011536
1.7092882,1.2128009
1.7273604,1.2244397
1.7454326,1.2360697
1.7635047,1.2476901
1.781577,1.2593007
1.7996492,1.2709007
1.8177214,1.2824897
1.8357936,1.2940673
1.8538659,1.3056328
1.871938,1.3171859
1.8900102,1.3287258
1.9080825,1.3402526
1.9261546,1.3517652
1.9442269,1.3632636
1.962299,1.374747
1.9803712,1.3862153
1.9984435,1.3976679
2.0165157,1.4091045
2.0345879,1.4205244
2.05266,1.4319273
2.0707324,1.4433132
2.0888045,1.4546812
2.1068766,1.4660312
2.124949,1.4773628
2.143021,1.4886756
2.1610932,1.4999691
2.1791654,1.5112431
2.1972377,1.5224978
2.2153099,1.533732
2.233382,1.544946
2.2514544,1.5561393
2.2695265,1.5673118
2.2875986,1.5784628
2.305671,1.5895925
2.323743,1.6007005
2.3418152,1.6117865
2.3598876,1.6228503
2.3779597,1.6338916
2.3960319,1.6449103
2.414104,1.6559064
2.4321764,1.6668797
2.4502485,1.6778297
2.4683206,1.6887561
2.486393,1.6996596
2.504465,1.7105391
2.5225372,1.7213949
2.5406096,1.732227
2.5586817,1.743035
2.5767539,1.753819
2.5948262,1.7645789
2.6128983,1.7753145
2.6309705,1.786026
2.6490428,1.7967131
2.667115,1.8073758
2.685187,1.8180137
2.7032595,1.8286276
2.7213316,1.8392166
2.7394037,1.8497813
2.7574759,1.8603213
2.7755482,1.8708371
2.7936203,1.8813281
2.8116925,1.8917947
2.8297648,1.9022369
2.847837,1.9126545
2.865909,1.9230477
2.8839815,1.9334166
2.9020536,1.9437611
2.9201257,1.9540813
2.938198,1.9643774
2.9562702,1.9746492
2.9743423,1.9848973
2.9924145,1.9951212
3.0104868,2.0053215
3.028559,2.0154982
3.046631,2.0256505
3.0647035,2.0357797
3.0827756,2.0458858
3.1008477,2.0559683
3.11892,2.0660274
3.1369922,2.0760636
3.1550643,2.086077
3.1731367,2.0960677
3.1912088,2.1060355
3.209281,2.1159809
3.2273533,2.1259038
3.2454255,2.135805
3.2634976,2.1456835
3.28157,2.1555407
3.299642,2.1653757
3.3177142,2.1751897
3.3357863,2.1849816
3.3538587,2.1947532
3.3719308,2.2045028
3.390003,2.2142324
3.4080753,2.2239408
3.4261475,2.233629
3.4442196,2.2432964
3.462292,2.2529442
3.480364,2.2625716
3.4984362,2.2721796
3.5165086,2.2817678
3.5345807,2.2913365
3.5526528,2.3008862
3.570725,2.3104167
3.5887973,2.3199284
3.6068695,2.3294215
3.6249416,2.3388965
3.643014,2.348353
3.661086,2.3577912
3.6791582,2.3672116
3.6972306,2.3766146
3.7153027,2.3859997
3.7333748,2.3953679
3.7514472,2.4047186
3.7695193,2.4140525
3.7875915,2.4233696
3.8056638,2.4326704
3.823736,2.4419544
3.841808,2.4512224
3.8598804,2.4604747
3.8779526,2.469711
3.8960247,2.4789317
3.9140968,2.488137
3.9321692,2.497327
3.9502413,2.506502
3.9683135,2.5156622
3.9863858,2.5248075
4.004458,2.5339382
4.02253,2.5430546
4.040602,2.552157
4.0586743,2.561245
4.076747,2.5703197
4.094819,2.5793803
4.112891,2.5884275
4.1309633,2.5974612
4.1490355,2.6064823
4.1671076,2.6154897
4.18518,2.624485
4.2032523,2.633467
4.2213244,2.6424367
4.2393966,2.6513937
4.2574687,2.6603386
4.275541,2.6692717
4.2936134,2.6781929
4.3116856,2.687102
4.3297577,2.696
4.34783,2.704886
4.365902,2.7137609
4.383974,2.7226243
4.402046,2.731477
4.420119,2.7403185
4.438191,2.7491496
4.456263,2.7579699
4.474335,2.7667797
4.4924073,2.7755787
4.5104795,2.7843678
4.528552,2.793147
4.546624,2.8019161
4.5646963,2.810675
4.5827684,2.8194244
4.6008406,2.8281639
4.6189127,2.836894
4.636985,2.8456144
4.6550574,2.8543262
4.6731296,2.8630283
4.6912017,2.871722
4.709274,2.8804057
4.727346,2.889081
4.745418,2.8977475
4.7634907,2.906406
4.781563,2.915055
4.799635,2.9236958
4.817707,2.9323285
4.835779,2.940953
4.8538513,2.9495692
4.8719234,2.9581773
4.889996,2.9667776
4.908068,2.9753697
4.9261403,2.9839542
4.9442124,2.992531
4.9622846,3.0011
4.9803567,3.0096617
4.9984293,3.0182164
5.0165014,3.026763
5.0345736,3.0353026
5.0526457,3.043835
5.070718,3.05236
5.08879,3.0608785
5.1068625,3.06939
5.1249347,3.0778944
5.143007,3.0863922
5.161079,3.0948827
5.179151,3.103367
5.197223,3.1118445
5.2152953,3.1203153
5.233368,3.1287801
5.25144,3.1372385
5.269512,3.1456902
5.2875843,3.154136
5.3056564,3.1625752
5.3237286,3.171008
5.341801,3.179436
5.3598733,3.187857
5.3779454,3.1962721
5.3960176,3.2046814
5.4140897,3.2130852
5.432162,3.2214828
5.4502344,3.229875
5.4683065,3.2382612
5.4863787,3.2466424
5.504451,3.2550175
5.522523,3.2633874
5.540595,3.2717516
5.558667,3.2801106
5.57674,3.2884648
5.594812,3.2968125
5.612884,3.3051558
5.630956,3.3134942
5.6490283,3.3218265
5.6671004,3.3301547
5.685173,3.3384774
5.703245,3.3467953
5.7213173,3.3551083
5.7393894,3.3634164
